Name,Version,License,Modification,DownloadURL,Homepage
Lua,5.4.3,MIT,False,http://www.lua.org/ftp/lua-5.4.3.tar.gz,http://www.lua.org/
queue.h,1.46,BSD-3-Clause,True,https://github.com/openbsd/src/blob/8149cf72cd2fc23ffc4b5bb9ef225cc216215489/sys/sys/queue.h,https://www.openbsd.org
lz4,1.9.3,BSD-2-Clause,False,https://github.com/lz4/lz4/archive/refs/tags/v1.9.3.tar.gz,https://github.com/lz4/lz4
protobuf,3.12.4,BSD-3-Clause,False,https://github.com/protocolbuffers/protobuf/archive/refs/tags/v3.12.4.tar.gz,https://developers.google.com/protocol-buffers
gRPC,1.30.2,Apache-2.0,False,https://github.com/grpc/grpc/archive/refs/tags/v1.30.2.zip,https://grpc.io/
abseil-cpp,20200225.3,Apache-2.0,False,https://github.com/abseil/abseil-cpp/archive/refs/tags/20200225.3.tar.gz,https://abseil.io/
c-ares,1.15.0,MIT,False,https://github.com/c-ares/c-ares/archive/refs/tags/cares-1_15_0.tar.gz,http://daniel.haxx.se/projects/c-ares/
MbedTLS,3.2.1,Apache-2.0,False,https://github.com/Mbed-TLS/mbedtls/archive/refs/tags/v3.2.1.tar.gz,https://www.trustedfirmware.org/projects/mbed-tls/
cURL,7.84.0,curl,False,https://curl.se/download/curl-7.84.0.tar.bz2,https://curl.se/
libwebsockets,4.3.2,MIT,False,https://github.com/warmcat/libwebsockets/archive/refs/tags/v4.3.2.tar.gz,https://libwebsockets.org/
tiny-json,unversioned,MIT,True,https://github.com/rafagafe/tiny-json/archive/4c00c836d5a38299e244223d03fb8686e87dd4d8.zip,https://github.com/rafagafe/tiny-json
upb,unversioned,BSD-3-Clause,False,https://github.com/grpc/grpc/archive/refs/tags/v1.30.2.zip,https://github.com/protocolbuffers/upb
bfdiff,unversioned,bsdiff,True,https://github.com/mendsley/bsdiff/archive/b817e9491cf7b8699c8462ef9e2657ca4ccd7667.zip,https://www.daemonology.net/bsdiff/
